person_id,string,abr,era_prefix_only,string_simp
15303,道宗仁聖大孝皇帝,,,道宗仁圣大孝皇帝
15337,世宗仁皇帝,,,世宗仁皇帝
15334,太宗文烈皇帝,,,太宗文烈皇帝
15333,太祖武元皇帝,,,太祖武元皇帝
15340,宣宗哀皇帝,,,亘宗哀皇帝
15335,熙宗德宗皇帝,,,熙宗德宗皇帝
15338,章宗憲皇帝,,,章宗宪皇帝
15267,太祖忠潔王,,,太祖忠洁王
16516,太宗武烈王,,,太宗武烈王
3838,太宗明皇帝,,,太宗明皇帝
4358,世祖孝元皇帝,,,世祖孝元皇帝
7342,太祖武宣王,,,太祖武亘王
4520,世祖武成皇帝,,,世祖武成皇帝
3040,昭文皇帝,,,昭文皇帝
3009,武皇帝,,,武皇帝
267,隱皇帝,,,隐皇帝
266,昭武皇帝,,,昭武皇帝
264,光文皇帝,,,光文皇帝
3635,文明皇帝,,,文明皇帝
3998,景昭皇帝,,,景昭皇帝
4001,幽皇帝,,,幽皇帝
291,文成皇帝,,,文成皇帝
292,昭成皇帝,,,昭成皇帝
290,惠懿皇帝,,,惠懿皇帝
3703,成武皇帝,,,成武皇帝
3673,昭武皇帝,,,昭武皇帝
3672,惠愍皇帝,,,惠愍皇帝
288,昭文皇帝,,,昭文皇帝
4326,宣昭皇帝,,,亘昭皇帝
3680,高皇帝,,,高皇帝
7866,景明皇帝,,,景明皇帝
3679,哀平皇帝,,,哀平皇帝
4362,武昭皇帝,,,武昭皇帝
3901,文桓皇帝,,,文桓皇帝
4521,孝昭皇帝,,,孝昭皇帝
4519,文宣皇帝,,,文亘皇帝
3742,廢皇帝,,,废皇帝
15283,神武聖文皇帝,,,神武圣文皇帝
15292,神武皇帝,,,神武皇帝
15293,孝和皇帝,,,孝和皇帝
15261,明道崇德文宣皇帝,,,明道崇德文亘皇帝
15260,光文肅武孝高皇帝,,,光文肃武孝高皇帝
15273,天皇大帝皇帝,,,天皇大帝皇帝
15257,景皇帝,,,景皇帝
15259,睿皇帝,,,睿皇帝
15258,高皇帝,,,高皇帝
15327,聖宗皇帝,,,圣宗皇帝
15326,聖文皇帝,,,圣文皇帝
15325,康靖皇帝,,,康靖皇帝
15323,武烈皇帝,,,武烈皇帝
15328,昭簡皇帝,,,昭简皇帝
15324,昭英皇帝,,,昭英皇帝
15330,英文皇帝,,,英文皇帝
15254,睿武孝文皇帝,,,睿武孝文皇帝
15253,聖神恭肅文武皇帝,,,圣神恭肃文武皇帝
15246,聖德和武欽孝皇帝,,,圣德和武钦孝皇帝
15245,光聖神閔孝皇帝,,,光圣神闵孝皇帝
15249,聖文章武明德皇帝,,,圣文章武明德皇帝
15243,神武元聖孝皇帝,,,神武元圣孝皇帝
15251,睿文聖武昭肅皇帝,,,睿文圣武昭肃皇帝
15285,武成英烈昭肅皇帝,,,武成英烈昭肃皇帝
15298,孝和莊憲皇帝,,,孝和庄宪皇帝
15297,孝武惠文皇帝,,,孝武惠文皇帝
15296,大聖大明神烈皇帝,,,大圣大明神烈皇帝
15300,孝成康靖皇帝,,,孝成康靖皇帝
15299,孝安敬正皇帝,,,孝安敬正皇帝
15301,文武大聖廣孝皇帝,,,文武大圣广孝皇帝
15302,神聖孝章皇帝,,,神圣孝章皇帝
15303,仁聖大孝皇帝,,,仁圣大孝皇帝
16640,懿皇太子,,,懿皇太子
16646,後皇主,,,后皇主
10186,唐殤皇皇帝,,,唐殇皇皇帝
302,廢皇主,,,废皇主
303,後皇主,,,后皇主
4407,武烈皇皇帝,,,武烈皇皇帝
16641,末皇帝,,,末皇帝
10187,聖神皇皇帝,,,圣神皇皇帝
16651,末皇主,,,末皇主
4359,懿武皇皇帝,,,懿武皇皇帝
3886,靈皇皇帝,,,灵皇皇帝
277,後皇主,,,后皇主
3900,後皇主,,,后皇主
3907,大皇皇帝,,,大皇皇帝
3910,末皇皇帝,,,末皇皇帝
4002,威皇皇帝,,,威皇皇帝
289,末皇主,,,末皇主
3078,歸義皇侯,,,归义皇侯
286,冠軍皇侯,,,冠军皇侯
3671,後皇主,,,后皇主
7617,明皇皇帝,,,明皇皇帝
4302,武皇皇帝,,,武皇皇帝
293,後皇主,,,后皇主
16957,紹武皇帝,,,绍武皇帝
4520,武成皇帝,,,武成皇帝
3106,楊茂搜,,,杨茂搜
10185,楊定,,,杨定
