date_index,date_string,dyn_str,ruler_str,era_str,has_int,year,sex_year,month,day,gz,lp,intercalary,cal_stream,ind_year,year_gz,nmd_gz,nmd_jdn,hui_jdn,dyn_id,ruler_id,era_id,era_start_year,era_end_year,era_start_jdn,era_end_jdn
0,七月戊申朔,,,,0,,,7,1,45,0,0,5,333,30,45,1842894.5,1842923.5,134,16442.0,1339,331,371.0,1842068.5,1856885.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,5,364,1,45,1854234.5,1854263.5,134,16442.0,1339,331,371.0,1842068.5,1856885.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,5,457,34,45,1888194.5,1888223.5,134,16446.0,1344,451,491.0,1885832.5,1900804.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,5,607,4,45,1942974.5,1943002.5,134,16452.0,1350,590,618.0,1936891.5,1947078.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,80,17,45,1750494.5,1750523.5,135,16458.0,1355,77,128.0,1749490.5,1768182.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,147,24,45,1774974.5,1775003.5,135,16459.0,1356,128,166.0,1768182.5,1781914.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,173,50,45,1784454.5,1784482.5,135,16460.0,1357,166,214.0,1781914.5,1799574.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,204,21,45,1795794.5,1795822.5,135,16460.0,1357,166,214.0,1781914.5,1799574.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,240,57,45,1808934.5,1808963.5,135,16463.0,1359,234,286.0,1806750.5,1825885.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,271,28,45,1820274.5,1820303.5,135,16463.0,1359,234,286.0,1806750.5,1825885.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,333,30,45,1842894.5,1842923.5,135,16466.0,1362,304,344.0,1832441.5,1847058.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,364,1,45,1854234.5,1854263.5,135,16468.0,1364,346,375.0,1847737.5,1858398.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,457,34,45,1888194.5,1888223.5,135,16476.0,1372,454,475.0,1887545.5,1894868.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,6,607,4,45,1942974.5,1943002.5,135,16485.0,1381,600,641.0,1940404.5,1955317.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,607,4,45,1942974.5,1943002.5,136,16513.0,1027,584,632.0,1934439.5,1951951.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,607,4,45,1942974.5,1943002.5,136,16514.0,1028,584,633.0,1934439.5,1952660.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,674,11,45,1967454.5,1967483.5,136,16517.0,1038,661,681.0,1962700.5,1969994.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,700,37,45,1976934.5,1976962.5,136,16519.0,1040,692,702.0,1974069.5,1977702.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,767,44,45,2001414.5,2001443.5,136,16523.0,1044,765,780.0,2000677.5,2006110.5
0,七月戊申朔,,,,0,,,7,1,45,0,0,7,798,15,45,2012754.5,2012783.5,136,16525.0,1046,785,798.0,2007836.5,2012932.5
