date_index,date_string,dyn_str,ruler_str,era_str,has_int,year,sex_year,month,day,gz,lp,intercalary,ind,cal_stream,ind_year,year_gz,nmd_gz,nmd_jdn,hui_jdn,dyn_id,ruler_id,era_id,era_start_year,era_end_year,era_start_jdn,era_end_jdn,_ind_year
0,元年七月戊申朔,,,,0,1,,7,1,45,0,0,4859,1,147,24,45,1774974.5,1775003.5,46,3654.0,66,147,149.0,1774797.5,1775890.5,147
0,元年七月戊申朔,,,,0,1,,7,1,45,0,0,6009,1,240,57,45,1808934.5,1808963.5,48,3657.0,88,240,249.0,1808757.5,1812124.5,240
0,元年七月戊申朔,,,,0,1,,7,1,45,0,0,8693,1,457,34,45,1888194.5,1888223.5,83,3860.0,265,457,464.0,1888017.5,1890941.5,457
0,元年七月戊申朔,,,,0,1,,7,1,45,0,0,14757,3,700,37,45,1976934.5,1976962.5,99,10187.0,403,700,701.0,1976879.5,1977143.5,700
