date_index,date_string,has_int,year,sex_year,month,day,gz,lp,intercalary,cal_stream,dyn_id,ruler_id,era_id,era_start_year,era_end_year,era_start_jdn,era_end_jdn
0,庚午年三月八日,0,6,7,3,8,,,0,5,134.0,16450.0,1348.0,545,559.0,1920235.5,1925344.5
0,庚午年三月八日,0,21,7,3,8,,,0,5,134.0,16452.0,1350.0,590,618.0,1936891.5,1947078.5
0,庚午年三月八日,0,28,7,3,8,,,0,6,135.0,16456.0,1353.0,-17,28.0,1714880.5,1731388.5
0,庚午年三月八日,0,43,7,3,8,,,0,6,135.0,16457.0,1354.0,28,77.0,1731388.5,1749490.5
0,庚午年三月八日,0,3,7,3,8,,,0,6,135.0,16459.0,1356.0,128,166.0,1768182.5,1781914.5
0,庚午年三月八日,0,3,7,3,8,,,1,6,135.0,16459.0,1356.0,128,166.0,1768182.5,1781914.5
0,庚午年三月八日,0,25,7,3,8,,,0,6,135.0,16460.0,1357.0,166,214.0,1781914.5,1799574.5
0,庚午年三月八日,0,17,7,3,8,,,0,6,135.0,16463.0,1359.0,234,286.0,1806750.5,1825885.5
0,庚午年三月八日,0,7,7,3,8,,,0,6,135.0,16466.0,1362.0,304,344.0,1832441.5,1847058.5
0,庚午年三月八日,0,25,7,3,8,,,0,6,135.0,16468.0,1364.0,346,375.0,1847737.5,1858398.5
0,庚午年三月八日,0,4,7,3,8,,,0,6,135.0,16475.0,1371.0,427,454.0,1877386.5,1887545.5
0,庚午年三月八日,0,12,7,3,8,,,0,6,135.0,16479.0,1375.0,479,501.0,1896374.5,1904407.5
0,庚午年三月八日,0,28,7,3,8,,,0,6,135.0,16481.0,1377.0,523,554.0,1912262.5,1923661.5
0,庚午年三月八日,0,11,7,3,8,,,0,6,135.0,16485.0,1381.0,600,641.0,1940404.5,1955317.5
0,庚午年三月八日,0,11,7,3,8,,,0,7,136.0,16511.0,1032.0,540,550.0,1918552.5,1922332.5
0,庚午年三月八日,0,27,7,3,8,,,0,7,136.0,16513.0,1027.0,584,632.0,1934439.5,1951951.5
0,庚午年三月八日,0,27,7,3,8,,,0,7,136.0,16514.0,1028.0,584,633.0,1934439.5,1952660.5
0,庚午年三月八日,0,10,7,3,8,,,0,7,136.0,16517.0,1038.0,661,681.0,1962700.5,1969994.5
0,庚午年三月八日,0,29,7,3,8,,,0,7,136.0,16520.0,1041.0,702,737.0,1977702.5,1990341.5
0,庚午年三月八日,0,6,7,3,8,,,0,7,136.0,16525.0,1046.0,785,798.0,2007836.5,2012932.5
